solver,agent_id,task_id,step,loc,row,col
solver1,62,1844,4,72827,40,827
solver1,62,1844,5,72828,40,828
solver1,62,1844,6,72829,40,829
solver1,63,19100,0,2751684,1528,1284
solver1,63,19100,1,2751685,1528,1285
solver1,63,19100,2,2751686,1528,1286
solver1,63,19100,3,2751687,1528,1287
solver1,63,19100,4,2749887,1527,1287
solver1,63,19100,5,2748087,1526,1287
solver1,64,29786,0,2417077,1342,1477
solver1,64,29786,1,2417076,1342,1476
solver1,64,29786,2,2417075,1342,1475
solver1,64,29786,3,2418875,1343,1475
solver1,64,29786,4,2420675,1344,1475
solver1,64,29786,5,2422475,1345,1475
solver1,64,29786,6,2422474,1345,1474
solver1,64,29786,7,2422473,1345,1473
solver1,65,25472,0,1390428,772,828
solver1,65,25472,1,1390429,772,829
solver1,65,25472,2,1390430,772,830
solver1,65,25472,3,1390431,772,831
solver1,65,25472,4,1388631,771,831
solver1,66,27572,0,2529340,1405,340
solver1,67,2325,0,2476527,1375,1527
solver1,67,2325,1,2476526,1375,1526
solver1,67,2325,2,2476525,1375,1525
solver1,68,21531,0,610995,339,795
solver1,69,17694,0,66990,37,390
solver1,69,17694,1,66989,37,389
solver1,69,17694,2,66988,37,388
solver1,69,17694,3,66987,37,387
solver1,69,17694,4,66986,37,386
solver1,69,17694,5,66985,37,385
solver1,69,17694,6,66984,37,384
solver1,69,17694,7,66983,37,383
solver1,70,29973,0,779827,433,427
solver1,70,29973,1,781627,434,427
solver1,70,29973,2,783427,435,427
solver1,70,29973,3,785227,436,427
solver1,70,29973,4,785226,436,426
solver1,71,26497,0,380099,211,299
solver1,71,26497,1,381899,212,299
solver1,71,26497,2,383699,213,299
solver1,71,26497,3,385499,214,299
solver1,71,26497,4,387299,215,299
solver1,72,17006,0,1771211,984,11
solver1,72,17006,1,1773011,985,11
solver1,72,17006,2,1774811,986,11
solver1,72,17006,3,1776611,987,11
solver1,72,17006,4,1778411,988,11
solver1,72,17006,5,1780211,989,11
solver1,72,17006,6,1782011,990,11
solver1,72,17006,7,1783811,991,11
solver1,73,23683,0,3256531,1809,331
solver1,73,23683,1,3254731,1808,331
solver1,73,23683,2,3252931,1807,331
solver1,73,23683,3,3251131,1806,331
solver1,73,23683,4,3249331,1805,331
solver1,73,23683,5,3247531,1804,331
solver1,73,23683,6,3245731,1803,331
solver1,73,23683,7,3243931,1802,331
solver1,73,23683,8,3242131,1801,331
solver1,73,23683,9,3240331,1800,331
solver1,73,23683,10,3238531,1799,331
solver1,73,23683,11,3236731,1798,331
solver1,73,23683,12,3234931,1797,331
solver1,73,23683,13,3233131,1796,331
solver1,74,25571,0,2125835,1181,35
solver1,74,25571,1,2124035,1180,35
solver1,74,25571,2,2124034,1180,34
solver1,75,12814,0,279915,155,915
solver1,75,12814,1,281715,156,915
solver1,75,12814,2,283515,157,915
solver1,75,12814,3,285315,158,915
solver1,75,12814,4,287115,159,915
solver1,75,12814,5,288915,160,915
solver1,75,12814,6,290715,161,915
solver1,76,6564,0,8788,4,1588
solver1,76,6564,1,8787,4,1587
solver1,76,6564,2,8786,4,1586
solver1,76,6564,3,8785,4,1585
solver1,77,28888,0,1354195,752,595
solver1,77,28888,1,1352395,751,595
solver1,77,28888,2,1352396,751,596
solver1,77,28888,3,1352397,751,597
solver1,77,28888,4,1352398,751,598
solver1,77,28888,5,1352399,751,599
solver1,77,28888,6,1352400,751,600
solver1,78,25797,0,1795277,997,677
solver1,78,25797,1,1795276,997,676
solver1,78,25797,2,1795275,997,675
solver1,78,25797,3,1797075,998,675
solver1,78,25797,4,1798875,999,675
solver1,78,25797,5,1800675,1000,675
solver1,78,25797,6,1802475,1001,675
solver1,79,26394,0,1622597,901,797
solver1,79,26394,1,1622596,901,796
solver1,79,26394,2,1622595,901,795
solver1,79,26394,3,1624395,902,795
solver1,80,24317,0,1175193,652,1593
solver1,80,24317,1,1175192,652,1592
solver1,80,24317,2,1175191,652,1591
solver1,80,24317,3,1173391,651,1591
solver1,80,24317,4,1171591,650,1591
solver1,80,24317,5,1169791,649,1591
solver1,80,24317,6,1167991,648,1591
solver1,80,24317,7,1166191,647,1591
solver1,80,24317,8,1164391,646,1591
solver1,80,24317,9,1162591,645,1591
solver1,80,24317,10,1160791,644,1591
solver1,80,24317,11,1158991,643,1591
solver1,81,9791,0,34319,19,119
solver1,81,9791,1,32519,18,119
solver1,81,9791,2,30719,17,119
solver1,81,9791,3,28919,16,119
solver1,81,9791,4,27119,15,119
solver1,81,9791,5,25319,14,119
solver1,81,9791,6,23519,13,119
solver1,82,15170,0,1334863,741,1063
solver1,82,15170,1,1333063,740,1063
solver1,82,15170,2,1331263,739,1063
solver1,82,15170,3,1331264,739,1064
solver1,82,15170,4,1331265,739,1065
solver1,82,15170,5,1331266,739,1066
solver1,82,15170,6,1331267,739,1067
